LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,WTCPUE,NUMCPUE,COMMON,GENUS_SPECIES,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,5.2099,7.5784,plain_sculpin,Myoxocephalus_jaok,21371,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,10.1513,6.6311,Pacific_cod,Gadus_macrocephalus,21720,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,0.0644,0.2368,rock_sole_unid.,Lepidopsetta_sp.,10260,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,8.5937,42.8656,yellowfin_sole,Limanda_aspera,10210,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,0.7519,5.9207,Bering_flounder,Hippoglossoides_robustus,10140,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,0.2148,0.9473,Greenland_turbot,Reinhardtius_hippoglossoides,10115,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,24.9757,37.4186,Alaska_plaice,Pleuronectes_quadrituberculatus,10285,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,1.5038,-9999,purple-orange_sea_star,Asterias_amurensis,81742,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,1.0742,7.1048,saffron_cod,Eleginus_gracilis,21735,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,10.044,8.9994,walleye_pollock,Gadus_chalcogrammus,21740,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,0.0322,0.2368,eelpout_unid.,Zoarcidae,24100,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,6.0694,7.8153,marbled_eelpout,Lycodes_raridens,24184,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,130.6259,-9999,snow_crab,Chionoecetes_opilio,68580,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,4.1357,-9999,basketstar,Gorgonocephalus_eucnemis,83020,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,0.0216,-9999,,Leptasterias_polaris,80590,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,3.4375,-9999,,Neptunea_sp.,71800,51,1.5,7.8,21,198202,5
60.99783,-170.786,S-21,81,1982,9/2/1982__2:00:00_AM,8.2716,22.4985,butterfly_sculpin,Hemilepidotus_papilio,21348,51,1.5,7.8,21,198202,5
60.99917,-169.39517,S-19,70,1982,9/1/1982__10:00:00_PM,0.0552,-9999,basketstar,Gorgonocephalus_eucnemis,83020,38,-9999,-9999,21,198202,4
60.99917,-169.39517,S-19,70,1982,9/1/1982__10:00:00_PM,3.8062,-9999,sea_glob,Aplidium_sp._A_(Clark_2006),98310,38,-9999,-9999,21,198202,4
60.99917,-169.39517,S-19,70,1982,9/1/1982__10:00:00_PM,7.0055,-9999,purple-orange_sea_star,Asterias_amurensis,81742,38,-9999,-9999,21,198202,4
60.99917,-169.39517,S-19,70,1982,9/1/1982__10:00:00_PM,2.2065,-9999,,Neptunea_sp.,71800,38,-9999,-9999,21,198202,4
60.99917,-169.39517,S-19,70,1982,9/1/1982__10:00:00_PM,0.0331,-9999,horsehair_crab,Erimacrus_isenbeckii,69400,38,-9999,-9999,21,198202,4
60.99917,-169.39517,S-19,70,1982,9/1/1982__10:00:00_PM,0.4412,-9999,red_king_crab,Paralithodes_camtschaticus,69322,38,-9999,-9999,21,198202,4
60.99917,-169.39517,S-19,70,1982,9/1/1982__10:00:00_PM,45.6736,-9999,hermit_crab_unid.,Paguridae,69010,38,-9999,-9999,21,198202,4
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,2.9004,8.7626,Alaska_plaice,Pleuronectes_quadrituberculatus,10285,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.0216,1.8946,sturgeon_poacher,Podothecus_accipenserinus,20040,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.161,16.8147,Arctic_staghorn_sculpin,Gymnocanthus_tricuspis,21315,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.0107,1.1841,ribbed_sculpin,Triglops_pingeli,21355,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.0107,0.2368,antlered_sculpin,Enophrys_diceraus,21388,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.0107,0.9473,Arctic_cod,Boreogadus_saida,21725,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,4.4043,32.9189,saffron_cod,Eleginus_gracilis,21735,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,1.289,0.4737,walleye_pollock,Gadus_chalcogrammus,21740,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.0107,0.2368,rainbow_smelt,Osmerus_mordax,23055,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.0753,5.447,slender_eelblenny,Lumpenus_fabricii,23807,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.2148,0.2368,polar_eelpout,Lycodes_turneri,24189,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.6446,-9999,kuro_argid,Argis_lar,66611,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.0538,-9999,circumboreal_toad_crab,Hyas_coarctatus,68577,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.1288,-9999,,Beringius_beringii,71772,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,3.2872,-9999,fat_whelk,Neptunea_ventricosa,71882,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,29.0041,-9999,,Neptunea_heros,71884,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.0429,-9999,,Buccinum_sp.,72740,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.0538,-9999,mussel_unid.,Mytilidae,74050,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.5371,-9999,,Leptasterias_groenlandica,80110,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.5371,-9999,blackspined_sea_star,Lethasterias_nanimensis,80200,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,2.3633,-9999,purple-orange_sea_star,Asterias_amurensis,81742,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.0216,-9999,green_sea_urchin,Strongylocentrotus_droebachiensis,82510,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,0.8594,-9999,basketstar,Gorgonocephalus_eucnemis,83020,22,1.7,4.5,21,198202,70
63.47533,-166.45583,ZZ-03,0,1982,9/10/1982__7:00:00_AM,1.3966,0.4737,Pacific_cod,Gadus_macrocephalus,21720,22,1.7,4.5,21,198202,70
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.2079,-9999,kuro_argid,Argis_lar,66611,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.1041,-9999,sea_anemone_unid.,Actiniaria,43000,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.1041,0.2293,shorthorn_(=warty)_sculpin,Myoxocephalus_scorpius,21368,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.052,-9999,sea_raspberry,Gersemia_sp.,41201,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.1041,-9999,Arctic_surfclam,Mactromeris_polynyma,75111,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.4159,-9999,sea_glob,Aplidium_sp._A_(Clark_2006),98310,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.0209,-9999,circumboreal_toad_crab,Hyas_coarctatus,68577,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,6.9672,41.4947,yellowfin_sole,Limanda_aspera,10210,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.052,1.6048,rock_sole_unid.,Lepidopsetta_sp.,10260,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,4.4713,14.2137,Alaska_plaice,Pleuronectes_quadrituberculatus,10285,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.052,4.1265,sturgeon_poacher,Podothecus_accipenserinus,20040,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.1559,0.6878,Pacific_herring,Clupea_pallasii,21110,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.5199,29.3443,Arctic_staghorn_sculpin,Gymnocanthus_tricuspis,21315,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,1.9757,3.668,plain_sculpin,Myoxocephalus_jaok,21371,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,9.8787,,Pacific_cod,Gadus_macrocephalus,21720,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.0103,0.917,Arctic_cod,Boreogadus_saida,21725,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.0103,-9999,snow_crab,Chionoecetes_opilio,68580,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.1353,-9999,hermit_crab_unid.,Paguridae,69010,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,1.019,-9999,fat_whelk,Neptunea_ventricosa,71882,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,38.3714,-9999,,Neptunea_heros,71884,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.0312,-9999,trochid_unid.,Trochidae,72510,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.1041,-9999,mussel_unid.,Mytilidae,74050,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.9358,-9999,,Leptasterias_groenlandica,80110,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.572,-9999,,Leptasterias_polaris,80590,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,6.7072,-9999,purple-orange_sea_star,Asterias_amurensis,81742,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.0209,-9999,green_sea_urchin,Strongylocentrotus_droebachiensis,82510,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.4991,-9999,sea_peach_unid.,Halocynthia_sp.,98200,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,30.0523,195.5525,saffron_cod,Eleginus_gracilis,21735,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.312,0.2293,walleye_pollock,Gadus_chalcogrammus,21740,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.0103,0.4585,snailfish_unid.,Liparidae,22200,22,5.2,7.4,21,198202,71
63.48783,-167.07217,ZZ-03,0,1982,9/10/1982__9:00:00_AM,0.0103,0.2293,Arctic_shanny,Stichaeus_punctatus,23804,22,5.2,7.4,21,198202,71
